LocalBodyId,LocalBodyName,LocalBodyType,DistrictName,StateName,Pincode,Address,ContactNumber,Email,OfficialWebsiteUrl,TnurbantreeUrl,ChairpersonName,CommissionerName,WardCount,Population,EstablishedYear,AboutDescription
,Dindigul Municipal Corporation,Municipal Corporation,Dindigul,Tamil Nadu,624001,"Corporation Building, Dindigul - 624001",0451-2431000,,,http://www.tnurbantree.tn.gov.in/dindigul/,,,48,"196936",2021,Dindigul Municipal Corporation governs the city known for its rock fort and Dindigul Lock industry. It is also famous for its biryani and leather goods production.
,Thanjavur Municipal Corporation,Municipal Corporation,Thanjavur,Tamil Nadu,613001,"Corporation Building, Thanjavur - 613001",04362-250000,,,http://www.tnurbantree.tn.gov.in/thanjavur/,,,48,"222943",2021,Thanjavur Municipal Corporation governs the cultural capital of Tamil Nadu. Known as the Rice Bowl of Tamil Nadu it is famous for the UNESCO World Heritage Site Brihadeeswara Temple. It is also known for Tanjore paintings and Carnatic music.
,Ranipet Municipal Corporation,Municipal Corporation,Ranipet,Tamil Nadu,632401,"Corporation Building, Ranipet - 632401",04172-250000,,,http://www.tnurbantree.tn.gov.in/ranipet/,,,48,"175214",2021,Ranipet Municipal Corporation is a major industrial city known for its leather processing industry. It is one of the leading leather goods manufacturing centres in India.
,Nagercoil Municipal Corporation,Municipal Corporation,Kanyakumari,Tamil Nadu,629001,"Corporation Building, Nagercoil - 629001",04652-225000,,,http://www.tnurbantree.tn.gov.in/nagercoil/,,,48,"224129",2011,Nagercoil Municipal Corporation governs the southernmost corporation city in India. Located near the southern tip of India it is known for the Nagaraja temple and beautiful coastal landscapes.
,Hosur Municipal Corporation,Municipal Corporation,Krishnagiri,Tamil Nadu,635109,"Corporation Building, Hosur - 635109",04344-260000,,,http://www.tnurbantree.tn.gov.in/hosur/,,,48,"129161",2021,Hosur Municipal Corporation is the industrial twin city of Bengaluru. It hosts major industries including TATA Electronics TVS Motor and Biocon. It is one of the fastest growing cities in Tamil Nadu.
,Avadi Municipal Corporation,Municipal Corporation,Tiruvallur,Tamil Nadu,600054,"Corporation Building, Avadi - 600054",044-26384536,,,http://www.tnurbantree.tn.gov.in/avadi/,,,48,"345996",2021,Avadi Municipal Corporation is located near Chennai and is known for the Heavy Vehicles Factory (HVF) and Combat Vehicles Research and Development Establishment (CVRDE). It is an important industrial and defence hub near Chennai.
,Tambaram Municipal Corporation,Municipal Corporation,Chengalpattu,Tamil Nadu,600045,"Corporation Building, Tambaram - 600045",044-22260000,,,http://www.tnurbantree.tn.gov.in/tambaram/,,,48,"424997",2021,Tambaram Municipal Corporation is a satellite city of Chennai. It is a major residential and commercial hub with significant transport connectivity as it is home to a major Indian Air Force base and railway junction.
,Bhavani Municipality,Municipality,Erode,Tamil Nadu,638301,"Municipal Office, Mettur Road, Bhavani - 638301",04256-222055,,http://www.tnurbantree.tn.gov.in/bhavani/,http://www.tnurbantree.tn.gov.in/bhavani/,,,30,"62000",,Bhavani Municipality is situated at the sacred confluence of the rivers Cauvery and Bhavani in Erode district. The town is known for the Bhavani Sangamam and the ancient Sangameswarar Temple. It is a Grade III municipality with textile and agricultural trade.
,Gobichettipalayam Municipality,Municipality,Erode,Tamil Nadu,638452,"Municipal Office, Salem Road, Gobichettipalayam - 638452",04285-222344,,http://www.tnurbantree.tn.gov.in/gobichettipalayam/,http://www.tnurbantree.tn.gov.in/gobichettipalayam/,,,30,"70000",,Gobichettipalayam (Gobi) Municipality is located in Erode district near the Karnataka border. The town is known for cotton trade sugarcane cultivation and a major railway junction. The nearby Sathyamangalam Tiger Reserve makes it a gateway to forest tourism.
,Sathyamangalam Municipality,Municipality,Erode,Tamil Nadu,638401,"Municipal Office, Sathyamangalam - 638401",04295-220055,,http://www.tnurbantree.tn.gov.in/sathyamangalam/,http://www.tnurbantree.tn.gov.in/sathyamangalam/,,,24,"57000",,Sathyamangalam Municipality is the gateway to the Sathyamangalam Tiger Reserve (STR) and Biligiri Rangaswamy Temple Tiger Reserve. The town is surrounded by the Nilgiris Biosphere Reserve and is known for eco-tourism and the famous Bhavani Sagar Dam nearby.
,Perundurai Municipality,Municipality,Erode,Tamil Nadu,638052,"Municipal Office, Perundurai - 638052",04294-220055,,http://www.tnurbantree.tn.gov.in/perundurai/,http://www.tnurbantree.tn.gov.in/perundurai/,,,24,"52000",,Perundurai Municipality is an industrial hub in Erode district. It hosts the SIPCOT Industrial Estate and is known for textile manufacturing power looms and engineering industries. It is one of the fastest growing urban centres in Erode district.
,Anthiyur Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638501,"Town Panchayat Office, Anthiyur - 638501",04259-242055,,http://www.tnurbantree.tn.gov.in/anthiyur/,http://www.tnurbantree.tn.gov.in/anthiyur/,,,15,"32000",,Anthiyur Town Panchayat is located near the Karnataka border in Erode district. It is surrounded by the Sathyamangalam forest and is known for cotton cultivation. The Kaveri river flows nearby.
,Nambiyur Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638458,"Town Panchayat Office, Nambiyur - 638458",04285-250055,,http://www.tnurbantree.tn.gov.in/nambiyur/,http://www.tnurbantree.tn.gov.in/nambiyur/,,,12,"18000",,Nambiyur Town Panchayat is a small agricultural town in Gobichettipalayam taluk of Erode district. It is known for sugarcane and cotton farming and is part of the semi-arid western belt of Erode district.
,Kodumudi Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638151,"Town Panchayat Office, Kodumudi - 638151",04204-230055,,http://www.tnurbantree.tn.gov.in/kodumudi/,http://www.tnurbantree.tn.gov.in/kodumudi/,,,15,"22000",,Kodumudi Town Panchayat is known for the famous Muruganathaswamy Temple located on a natural island in the Cauvery river. The temple is a major pilgrimage site attracting thousands of devotees especially during the Panguni Uthiram festival.
,Kavindapadi Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638455,"Town Panchayat Office, Kavindapadi - 638455",04285-257055,,http://www.tnurbantree.tn.gov.in/kavindapadi/,http://www.tnurbantree.tn.gov.in/kavindapadi/,,,12,"16000",,Kavindapadi Town Panchayat is located in Gobichettipalayam taluk of Erode district. The area is part of the sugarcane belt and is known for agricultural produce. It is connected to Gobichettipalayam town via the NH-544.
,Thindal Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638012,"Town Panchayat Office, Thindal - 638012",0424-2556055,,http://www.tnurbantree.tn.gov.in/thindal/,http://www.tnurbantree.tn.gov.in/thindal/,,,12,"28000",,Thindal Town Panchayat is located on the outskirts of Erode city. It is known for the historic Muruganar Temple at Thindal which is an important pilgrimage site. The area is a growing residential suburb of Erode.
,Veerappanchatram Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638004,"Town Panchayat Office, Veerappanchatram - 638004",0424-2268055,,http://www.tnurbantree.tn.gov.in/veerappanchatram/,http://www.tnurbantree.tn.gov.in/veerappanchatram/,,,12,"24000",,Veerappanchatram Town Panchayat is a textile town near Erode city known for its weaving and dyeing industries. It is part of the greater Erode textile belt and is well connected to the city centre.
,Sivagiri Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638109,"Town Panchayat Office, Sivagiri - 638109",04294-261055,,http://www.tnurbantree.tn.gov.in/sivagiri/,http://www.tnurbantree.tn.gov.in/sivagiri/,,,12,"19000",,Sivagiri Town Panchayat is located in Perundurai taluk of Erode district. The area is known for handloom weaving and agricultural activities. It is near the industrial SIPCOT area of Perundurai.
,Modakkurichi Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638104,"Town Panchayat Office, Modakkurichi - 638104",0424-2480055,,http://www.tnurbantree.tn.gov.in/modakkurichi/,http://www.tnurbantree.tn.gov.in/modakkurichi/,,,12,"26000",,Modakkurichi Town Panchayat is located on the outskirts of Erode city. The town is a residential and commercial suburb known for coconut and groundnut farming. It is well connected to Erode city via NH 544.
,Vellakoil Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638111,"Town Panchayat Office, Vellakoil - 638111",04294-224055,,http://www.tnurbantree.tn.gov.in/vellakoil/,http://www.tnurbantree.tn.gov.in/vellakoil/,,,12,"21000",,Vellakoil Town Panchayat is a growing town in Perundurai taluk of Erode district. It is known for handloom and textile activities and serves as a commercial centre for surrounding villages.
,Thalavadi Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638461,"Town Panchayat Office, Thalavadi - 638461",04259-245055,,http://www.tnurbantree.tn.gov.in/thalavadi/,http://www.tnurbantree.tn.gov.in/thalavadi/,,,12,"12000",,Thalavadi Town Panchayat is a hill town bordering Karnataka in Erode district. It is part of the Sathyamangalam Tiger Reserve buffer zone and is home to several tribal communities. The area is known for coffee and spice cultivation.
,Bhavani Sagar Town Panchayat,Town Panchayat,Erode,Tamil Nadu,638452,"Town Panchayat Office, Bhavani Sagar - 638452",04285-256055,,http://www.tnurbantree.tn.gov.in/bhavanisagar/,http://www.tnurbantree.tn.gov.in/bhavanisagar/,,,12,"14000",,Bhavani Sagar Town Panchayat is located near the famous Bhavani Sagar Dam which is one of the longest earthen dams in Asia. The dam is situated on the Bhavani river and provides irrigation to large areas in Erode district.
,Attur Municipality,Municipality,Salem,Tamil Nadu,636102,"Municipal Office, Bazaar Street, Attur - 636102",04282-262076,,http://www.tnurbantree.tn.gov.in/attur/,http://www.tnurbantree.tn.gov.in/attur/,,,24,"42000",,Attur Municipality is a Grade III municipality located in Salem district. It is the headquarters of Attur taluk and is known for paddy cultivation and trade. The town is also known for the historic Krishnapuram Palace and its textile market.
,Mettur Municipality,Municipality,Salem,Tamil Nadu,636401,"Municipal Office, Mettur Dam Road, Mettur - 636401",04298-222046,,http://www.tnurbantree.tn.gov.in/mettur/,http://www.tnurbantree.tn.gov.in/mettur/,,,24,"48000",,Mettur Municipality is located on the banks of the Cauvery river and is known for the famous Mettur Dam (Stanley Reservoir) which is one of the largest reservoirs in India. The area has significant hydroelectric power generation and industrial activity.
,Omalur Municipality,Municipality,Salem,Tamil Nadu,636455,"Municipal Office, Omalur - 636455",04290-222055,,http://www.tnurbantree.tn.gov.in/omalur/,http://www.tnurbantree.tn.gov.in/omalur/,,,24,"38000",,Omalur Municipality is an industrial town in Salem district. It is known for the Omalur SIPCOT Industrial Estate and various engineering and manufacturing industries. The town is a significant commercial centre in the Salem-Dharmapuri corridor.
,Sankari Municipality,Municipality,Salem,Tamil Nadu,637301,"Municipal Office, Sankaridrug Road, Sankari - 637301",04290-263055,,http://www.tnurbantree.tn.gov.in/sankari/,http://www.tnurbantree.tn.gov.in/sankari/,,,24,"40000",,Sankari (Sankaridrug) Municipality is located in Salem district near the Erode border. The town is known for the Sankaridrug Fort (Sankagiri Fort area) which is a historic fortification. It is also known for handloom silk weaving and cotton textiles.
,Sankagiri Municipality,Municipality,Salem,Tamil Nadu,637301,"Municipal Office, Sankagiri - 637301",04281-260055,,http://www.tnurbantree.tn.gov.in/sankagiri/,http://www.tnurbantree.tn.gov.in/sankagiri/,,,18,"35000",,Sankagiri Municipality is a Grade III municipality in Salem district Tamil Nadu. The town is famous for the historic Sankagiri Fort which was an important fortress during the Vijayanagara Empire and later held by Hyder Ali and Tipu Sultan. It is also known for handloom silk weaving and cotton textiles.
,Edappadi Municipality,Municipality,Salem,Tamil Nadu,637101,"Municipal Office, Edappadi - 637101",04262-265055,,http://www.tnurbantree.tn.gov.in/idappadi/,http://www.tnurbantree.tn.gov.in/idappadi/,,,24,"38000",,Edappadi (Idappadi) Municipality is located in the Salem district. The town gained national prominence after former Chief Minister O. Panneerselvam and AIADMK leader Edappadi K. Palaniswami are associated with this region. It is known for mango orchards and silk weaving.
,Gangavalli Municipality,Municipality,Salem,Tamil Nadu,636105,"Municipal Office, Gangavalli - 636105",04282-275055,,http://www.tnurbantree.tn.gov.in/gangavalli/,http://www.tnurbantree.tn.gov.in/gangavalli/,,,18,"28000",,Gangavalli Municipality is a small urban body in Salem district known for paddy cultivation and trade. The town has a weekly market that serves the surrounding villages and agricultural belt.
,Tiruchengode Municipality,Municipality,Namakkal,Tamil Nadu,637211,"Municipal Office, Tiruchengode - 637211",04288-252055,,http://www.tnurbantree.tn.gov.in/tiruchengode/,http://www.tnurbantree.tn.gov.in/tiruchengode/,,,30,"82000",,Tiruchengode Municipality is located in Namakkal district and is the world's largest manufacturer of lorry bodies. The town is also known for the Ardhanareeswarar Temple atop a rocky hill and the Magudanchavadi quarry area.
,Yercaud Town Panchayat,Town Panchayat,Salem,Tamil Nadu,636601,"Town Panchayat Office, Yercaud - 636601",04281-222055,,http://www.tnurbantree.tn.gov.in/yercaud/,http://www.tnurbantree.tn.gov.in/yercaud/,,,12,"15000",,Yercaud Town Panchayat is a scenic hill station in Salem district situated at 1515 metres above sea level in the Shevaroy Hills. Known as the Poor Man's Ooty it is famous for coffee cultivation rose gardens and the annual summer festival.
,Valapady Town Panchayat,Town Panchayat,Salem,Tamil Nadu,637103,"Town Panchayat Office, Valapady - 637103",04262-261055,,http://www.tnurbantree.tn.gov.in/valapady/,http://www.tnurbantree.tn.gov.in/valapady/,,,12,"18000",,Valapady Town Panchayat is in Salem district near Edappadi. The area is known for mango orchards and agricultural produce. It is a small commercial centre for the surrounding villages in the Salem-Erode corridor.
,Nangavalli Town Panchayat,Town Panchayat,Salem,Tamil Nadu,636102,"Town Panchayat Office, Nangavalli - 636102",04282-276055,,http://www.tnurbantree.tn.gov.in/nangavalli/,http://www.tnurbantree.tn.gov.in/nangavalli/,,,12,"14000",,Nangavalli Town Panchayat is in the Attur taluk area of Salem district. The area is primarily agricultural known for paddy and mango cultivation.
,Thalaivasal Town Panchayat,Town Panchayat,Salem,Tamil Nadu,636117,"Town Panchayat Office, Thalaivasal - 636117",04282-285055,,http://www.tnurbantree.tn.gov.in/thalaivasal/,http://www.tnurbantree.tn.gov.in/thalaivasal/,,,12,"16000",,Thalaivasal Town Panchayat is located in Salem district. The area is known for sericulture (silk cultivation) and agricultural activities. It serves as a small commercial hub for the Attur taluk interior.
,Konganapuram Town Panchayat,Town Panchayat,Salem,Tamil Nadu,637408,"Town Panchayat Office, Konganapuram - 637408",04264-262055,,http://www.tnurbantree.tn.gov.in/konganapuram/,http://www.tnurbantree.tn.gov.in/konganapuram/,,,12,"19000",,Konganapuram Town Panchayat is in Salem district on the Salem-Coimbatore highway corridor. The area is known for weaving industries and agricultural trade serving as a transit town in the region.
,Panamarathupatti Town Panchayat,Town Panchayat,Salem,Tamil Nadu,637020,"Town Panchayat Office, Panamarathupatti - 637020",0427-2473055,,http://www.tnurbantree.tn.gov.in/panamarathupatti/,http://www.tnurbantree.tn.gov.in/panamarathupatti/,,,12,"22000",,Panamarathupatti Town Panchayat is on the outskirts of Salem city and is one of the faster growing suburban towns. Known for textile and small-scale industries it is part of the greater Salem urban agglomeration.
,Malliyakarai Town Panchayat,Town Panchayat,Salem,Tamil Nadu,636115,"Town Panchayat Office, Malliyakarai - 636115",04282-277055,,http://www.tnurbantree.tn.gov.in/malliyakarai/,http://www.tnurbantree.tn.gov.in/malliyakarai/,,,12,"13000",,Malliyakarai Town Panchayat is in the Attur taluk of Salem district. The small town is known for paddy cultivation and traditional crafts. It has a weekly market serving surrounding villages.
