Name,District,State,OfficialWebsite,TnurbantreeUrl,WikipediaUrl
Omalur Municipality,Salem,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/omalur/,https://en.wikipedia.org/wiki/Omalur
Sankari Municipality,Salem,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/sankari/,https://en.wikipedia.org/wiki/Sankari
Sankagiri Municipality,Salem,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/sankagiri/,https://en.wikipedia.org/wiki/Sankagiri
Edappadi Municipality,Salem,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/idappadi/,https://en.wikipedia.org/wiki/Edappadi
Gangavalli Municipality,Salem,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/gangavalli/,
#
# ── NAMAKKAL DISTRICT ─────────────────────────────────────────────────────────
Tiruchengode Municipality,Namakkal,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/tiruchengode/,https://en.wikipedia.org/wiki/Tiruchengode
Rasipuram Municipality,Namakkal,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/rasipuram/,https://en.wikipedia.org/wiki/Rasipuram
Namakkal Municipality,Namakkal,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/namakkal/,https://en.wikipedia.org/wiki/Namakkal
Mohammedanpet,Namakkal,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/mohammedanpet/,https://en.wikipedia.org/wiki/Mohammedanpet
#
# ── SALEM DISTRICT — TOWN PANCHAYATS ─────────────────────────────────────────
Yercaud Town Panchayat,Salem,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/yercaud/,https://en.wikipedia.org/wiki/Yercaud
Valapady Town Panchayat,Salem,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/valapady/,
Nangavalli Town Panchayat,Salem,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/nangavalli/,
Thalaivasal Town Panchayat,Salem,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/thalaivasal/,
Konganapuram Town Panchayat,Salem,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/konganapuram/,
Panamarathupatti Town Panchayat,Salem,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/panamarathupatti/,
Malliyakarai Town Panchayat,Salem,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/malliyakarai/,
#
# ── COIMBATORE DISTRICT ───────────────────────────────────────────────────────
Pollachi Municipality,Coimbatore,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/pollachi/,https://en.wikipedia.org/wiki/Pollachi
#
# ── ADD MORE LOCAL BODIES BELOW ───────────────────────────────────────────────
# Format: Name,District,State,OfficialWebsite,TnurbantreeUrl,WikipediaUrl

Salem Taluk Town Panchayat,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/salem-taluk/,https://en.wikipedia.org/wiki/Salem_Taluk
Dharmapuri,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/dharmapuri/,https://en.wikipedia.org/wiki/Dharmapuri
Harur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/harur/,https://en.wikipedia.org/wiki/Harur
Palakkodu,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/palakkodu/,https://en.wikipedia.org/wiki/Palakkodu
Krishnagiri,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/krishnagiri/,https://en.wikipedia.org/wiki/Krishnagiri
Kaveripattinam,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/kaveripattinam/,https://en.wikipedia.org/wiki/Kaveripattinam
Shoolagiri,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/shoolagiri/,https://en.wikipedia.org/wiki/Shoolagiri
Kelamangalam,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/kelamangalam/,https://en.wikipedia.org/wiki/Kelamangalam
Tirupattur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/tirupattur/,https://en.wikipedia.org/wiki/Tirupattur
Ambur,,Tamil Nadu,https://www.amburmunicipality.tn.gov.in/,http://www.tnurbantree.tn.gov.in/ambur/,https://en.wikipedia.org/wiki/Ambur
Vaniyambadi,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/vaniyambadi/,https://en.wikipedia.org/wiki/Vaniyambadi
Katpadi,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/katpadi/,https://en.wikipedia.org/wiki/Katpadi
Sholinghur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/sholinghur/,https://en.wikipedia.org/wiki/Sholinghur
Arcot,,Tamil Nadu,https://www.arcotmunicipality.tn.gov.in/,http://www.tnurbantree.tn.gov.in/arcot/,https://en.wikipedia.org/wiki/Arcot
Tiruvallur,,Tamil Nadu,https://www.tiruvallur.tn.gov.in/,http://www.tnurbantree.tn.gov.in/tiruvallur/,https://en.wikipedia.org/wiki/Tiruvallur
Pattabiram,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/pattabiram/,https://en.wikipedia.org/wiki/Pattabiram
Thirumazhisai,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/thirumazhisai/,https://en.wikipedia.org/wiki/Thirumazhisai
Poonamallee,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/poonamallee/,https://en.wikipedia.org/wiki/Poonamallee
Kundrathur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/kundrathur/,https://en.wikipedia.org/wiki/Kundrathur
Jolarpet,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/jolarpet/,https://en.wikipedia.org/wiki/Jolarpet
Palladam,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/palladam/,https://en.wikipedia.org/wiki/Palladam
Kangeyam,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/kangeyam/,https://en.wikipedia.org/wiki/Kangeyam
Kaveripakkam,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/kaveripakkam/,https://en.wikipedia.org/wiki/Kaveripakkam
Avinashi,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/avinashi/,https://en.wikipedia.org/wiki/Avinashi
Tiruppur (North),,Tamil Nadu,https://www.tirupurcorporation.gov.in/,http://www.tnurbantree.tn.gov.in/tirupur/,https://en.wikipedia.org/wiki/Tiruppur
Tiruppur (South),,Tamil Nadu,https://www.tirupurcorporation.gov.in/,http://www.tnurbantree.tn.gov.in/tirupur/,https://en.wikipedia.org/wiki/Tiruppur
Muthur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/muthur/,https://en.wikipedia.org/wiki/Muthur
Kumarapalayam,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/kumarapalayam/,https://en.wikipedia.org/wiki/Kumarapalayam
Tiruvannamalai,,Tamil Nadu,https://www.tiruvannamalai.tn.gov.in/,http://www.tnurbantree.tn.gov.in/tiruvannamalai/,https://en.wikipedia.org/wiki/Tiruvannamalai
Arni,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/arni/,https://en.wikipedia.org/wiki/Arni,_Tamil_Nadu
Cheyyar,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/cheyyar/,https://en.wikipedia.org/wiki/Cheyyar
Kalasapakkam,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/kalasapakkam/,https://en.wikipedia.org/wiki/Kalasapakkam
Polur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/polur/,https://en.wikipedia.org/wiki/Polur
Vandavasi,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/vandavasi/,https://en.wikipedia.org/wiki/Vandavasi
Kanchipuram,,Tamil Nadu,https://www.kanchipuram.tn.gov.in/,http://www.tnurbantree.tn.gov.in/kanchipuram/,https://en.wikipedia.org/wiki/Kanchipuram
Uthiramerur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/uthiramerur/,https://en.wikipedia.org/wiki/Uthiramerur
Sriperumbudur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/sriperumbudur/,https://en.wikipedia.org/wiki/Sriperumbudur
Pallavaram,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/pallavaram/,https://en.wikipedia.org/wiki/Pallavaram
Chengalpattu,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/chengalpattu/,https://en.wikipedia.org/wiki/Chengalpattu
Maraimalai Nagar,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/maraimalainagar/,https://en.wikipedia.org/wiki/Maraimalai_Nagar
Thiruporur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/thiruporur/,https://en.wikipedia.org/wiki/Thiruporur
Porur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/porur/,https://en.wikipedia.org/wiki/Porur
Tiruvottiyur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/tiruvottiyur/,https://en.wikipedia.org/wiki/Tiruvottiyur
Thiruvanmiyur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/thiruvanmiyur/,https://en.wikipedia.org/wiki/Thiruvanmiyur
Viluppuram,,Tamil Nadu,https://www.viluppuram.tn.gov.in/,http://www.tnurbantree.tn.gov.in/viluppuram/,https://en.wikipedia.org/wiki/Viluppuram
Kallakurichi,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/kallakurichi/,https://en.wikipedia.org/wiki/Kallakurichi
Thiruvennainallur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/thiruvennainallur/,https://en.wikipedia.org/wiki/Thiruvennainallur
Vikravandi,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/vikravandi/,https://en.wikipedia.org/wiki/Vikravandi
Chinnasalem Town Panchayat,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/chinnasalem/,https://en.wikipedia.org/wiki/Chinnasalem
Thirukkovilur Municipality,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/thirukkovilur/,https://en.wikipedia.org/wiki/Thirukkovilur
Nallur Town Panchayat,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/nallur/,https://en.wikipedia.org/wiki/Nallur_Town_Panchayat
Cuddalore,,Tamil Nadu,https://www.cuddalore.tn.gov.in/,http://www.tnurbantree.tn.gov.in/cuddalore/,https://en.wikipedia.org/wiki/Cuddalore
Nellikuppam,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/nellikuppam/,https://en.wikipedia.org/wiki/Nellikuppam
Kattumannarkoil,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/kattumannarkoil/,https://en.wikipedia.org/wiki/Kattumannarkoil
Parangipettai,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/parangipettai/,https://en.wikipedia.org/wiki/Parangipettai
Chidambaram,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/chidambaram/,https://en.wikipedia.org/wiki/Chidambaram
Thittakudi,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/thittakudi/,https://en.wikipedia.org/wiki/Thittakudi
Virudhachalam,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/virudhachalam/,https://en.wikipedia.org/wiki/Virudhachalam
Mayiladuthurai,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/mayiladuthurai/,https://en.wikipedia.org/wiki/Mayiladuthurai
Kuthalam,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/kuthalam/,https://en.wikipedia.org/wiki/Kuthalam
Tharangambadi,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/tharangambadi/,https://en.wikipedia.org/wiki/Tharangambadi
Sirkazhi,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/sirkazhi/,https://en.wikipedia.org/wiki/Sirkazhi
Ariyalur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/ariyalur/,https://en.wikipedia.org/wiki/Ariyalur
Jayankondam,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/jayankondam/,https://en.wikipedia.org/wiki/Jayankondam
Pattukkottai,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/pattukkottai/,https://en.wikipedia.org/wiki/Pattukkottai
Perambalur,,Tamil Nadu,https://www.perambalur.tn.gov.in/,http://www.tnurbantree.tn.gov.in/perambalur/,https://en.wikipedia.org/wiki/Perambalur
Sendurai Town Panchayat,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/sendurai/,https://en.wikipedia.org/wiki/Sendurai
Alathur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/alathur/,https://en.wikipedia.org/wiki/Alathur,_Tamil_Nadu
Udhagamandalam,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/udhagamandalam/,https://en.wikipedia.org/wiki/Udhagamandalam
Coonoor,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/coonoorspecialtown/,https://en.wikipedia.org/wiki/Coonoor
Kotagiri,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/kotagiri/,https://en.wikipedia.org/wiki/Kotagiri
Nilgiris,,Tamil Nadu,http://www.nilgiris.gov.in/,http://www.tnurbantree.tn.gov.in/nilgiris/,https://en.wikipedia.org/wiki/Nilgiris
Karamadai,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/karamadai/,https://en.wikipedia.org/wiki/Karamadai
Mettupalayam,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/mettupalayam/,https://en.wikipedia.org/wiki/Mettupalayam,_Tamil_Nadu
Sulur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/sulur/,https://en.wikipedia.org/wiki/Sulur
Valparai,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/valparai/,https://en.wikipedia.org/wiki/Valparai
Paramathi Velur,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/paramathi-velur/,https://en.wikipedia.org/wiki/Paramathi_Velur
Karur,,Tamil Nadu,https://www.karur.tn.gov.in/,http://www.tnurbantree.tn.gov.in/karur/,https://en.wikipedia.org/wiki/Karur
Aravakurichi,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/aravakurichi/,https://en.wikipedia.org/wiki/Aravakurichi
Pallapatti,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/pallapatti/,https://en.wikipedia.org/wiki/Pallapatti
Kumbakonam,,Tamil Nadu,https://www.kumbakonamcity.com/,http://www.tnurbantree.tn.gov.in/kumbakonam/,https://en.wikipedia.org/wiki/Kumbakonam
Thiruvaiyaru,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/thiruvaiyaru/,https://en.wikipedia.org/wiki/Thiruvaiyaru
Orathanadu,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/orathanadu/,https://en.wikipedia.org/wiki/Orathanadu
Peravurani,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/peravurani/,https://en.wikipedia.org/wiki/Peravurani
Srirangam Town Panchayat,,Tamil Nadu,https://www.srirangamtownpanchayat.tn.gov.in/,http://www.tnurbantree.tn.gov.in/srirangam/,https://en.wikipedia.org/wiki/Srirangam
Thuraiyur Municipality,,Tamil Nadu,https://www.tn.gov.in/municipality/thuraiyur,http://www.tnurbantree.tn.gov.in/thuraiyur/,https://en.wikipedia.org/wiki/Thuraiyur
Lalgudi Municipality,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/lalgudi/,https://en.wikipedia.org/wiki/Lalgudi
Manapparai Municipality,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/manapparai/,https://en.wikipedia.org/wiki/Manapparai
Pettavaithalai Town Panchayat,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/pettavaithalai/,https://en.wikipedia.org/wiki/Pettavaithalai
Tiruvarur,,Tamil Nadu,https://www.tiruvarur.tn.gov.in/,http://www.tnurbantree.tn.gov.in/tiruvarur/,https://en.wikipedia.org/wiki/Tiruvarur
Thiruthuraipoondi,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/thiruthuraipoondi/,https://en.wikipedia.org/wiki/Thiruthuraipoondi
Nannilam,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/nannilam/,https://en.wikipedia.org/wiki/Nannilam
Muthupet,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/muthupet/,https://en.wikipedia.org/wiki/Muthupet
Kanyakumari,,Tamil Nadu,https://www.kanyakumaridistrict.tn.gov.in/,http://www.tnurbantree.tn.gov.in/kanyakumari/,https://en.wikipedia.org/wiki/Kanyakumari_district
Thuckalay,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/thuckalay/,https://en.wikipedia.org/wiki/Thuckalay
Padmanabhapuram,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/padmanabhapuram/,https://en.wikipedia.org/wiki/Padmanabhapuram
Kottapattu Town Panchayat,,Tamil Nadu,,http://www.tnurbantree.tn.gov.in/kottapattu/,https://en.wikipedia.org/wiki/Kottapattu
